NUM VERTICES,SMLVO, SMODL, welshpowell,largestoriginaldegreelast, largestlast, uniformrandom
320,0.22897,0.113003,0.129657,0.11261,0.22965,0.112669
321,0.251736,0.114571,0.13051,0.114339,0.235675,0.113051
322,0.232666,0.115154,0.131616,0.114857,0.236988,0.114257
323,0.241482,0.116347,0.132868,0.115636,0.24121,0.115585
324,0.249264,0.11679,0.133701,0.120863,0.23728,0.115764
325,0.247176,0.117564,0.134838,0.126464,0.241262,0.1173
326,0.25209,0.118941,0.135461,0.128327,0.244869,0.11803
327,0.246824,0.119678,0.142551,0.119716,0.243476,0.118592
328,0.247885,0.120556,0.137368,0.12078,0.247805,0.119248
329,0.247622,0.121656,0.138743,0.121209,0.248843,0.121218
330,0.267224,0.122699,0.139587,0.122001,0.25424,0.121626
331,0.265201,0.123883,0.141029,0.123899,0.268028,0.122248
332,0.254399,0.124363,0.141851,0.124438,0.265948,0.123287
333,0.272617,0.125696,0.143113,0.125071,0.253046,0.124192
334,0.26995,0.126207,0.143563,0.126032,0.260255,0.132032
335,0.262206,0.127615,0.145124,0.126879,0.264288,0.126808
336,0.264467,0.128542,0.146407,0.128649,0.263911,0.127858
337,0.262762,0.130784,0.147162,0.12946,0.265724,0.12831
338,0.281697,0.13072,0.148122,0.130488,0.268804,0.129203
339,0.291326,0.131617,0.149803,0.131477,0.268318,0.130642
340,0.271302,0.134529,0.151065,0.132356,0.279264,0.131735
341,0.276644,0.13405,0.153129,0.133549,0.279786,0.132785
342,0.281768,0.134841,0.15356,0.134484,0.297085,0.133779
343,0.275248,0.135945,0.15491,0.135687,0.293212,0.135211
344,0.293741,0.137089,0.155491,0.136216,0.278246,0.136055
345,0.291448,0.13792,0.156458,0.13772,0.284796,0.13705
346,0.301012,0.139261,0.157751,0.138472,0.292291,0.138013
347,0.285677,0.141466,0.159477,0.140035,0.295804,0.13913
348,0.303459,0.141248,0.160424,0.141437,0.298035,0.146211
349,0.3225,0.142709,0.161728,0.142327,0.309923,0.14143
350,0.297863,0.143502,0.162809,0.147437,0.297398,0.142191
351,0.29834,0.144753,0.164414,0.147412,0.312328,0.143368
352,0.32127,0.145247,0.164961,0.145597,0.312297,0.144034
353,0.297807,0.150275,0.166425,0.146776,0.300195,0.145412
354,0.302012,0.147609,0.16667,0.147625,0.303786,0.14654
355,0.31327,0.148475,0.167559,0.148807,0.312513,0.146853
356,0.308896,0.149394,0.17008,0.149565,0.305278,0.148137
357,0.309379,0.151252,0.171471,0.15111,0.325443,0.149795
358,0.320961,0.151794,0.173154,0.152055,0.310673,0.150878
359,0.330262,0.153368,0.174372,0.153638,0.332489,0.151745
360,0.336351,0.154528,0.174746,0.155201,0.326476,0.153217
361,0.331064,0.155941,0.176285,0.155526,0.320073,0.154592
362,0.328651,0.156657,0.177555,0.156239,0.324647,0.155735
363,0.326819,0.158018,0.178397,0.158046,0.326079,0.156778
364,0.327003,0.159236,0.181019,0.159097,0.342838,0.15883
365,0.346925,0.161129,0.181757,0.160868,0.337569,0.160293
366,0.340358,0.162227,0.183644,0.162059,0.358252,0.16144
367,0.337458,0.163841,0.18487,0.162855,0.333451,0.162973
368,0.344486,0.165262,0.186235,0.164096,0.352821,0.16399
369,0.338797,0.167244,0.187807,0.166152,0.339659,0.164494
370,0.348454,0.167901,0.18848,0.166838,0.340902,0.165724
371,0.351079,0.168736,0.190951,0.168183,0.352627,0.16684
372,0.352326,0.169552,0.191262,0.16993,0.352517,0.168095
373,0.354521,0.17103,0.193253,0.170747,0.356884,0.170046
374,0.360664,0.172565,0.194523,0.172113,0.369705,0.171451
375,0.354717,0.173518,0.196228,0.174023,0.356572,0.173611
376,0.358266,0.175071,0.197942,0.175193,0.362615,0.174288
377,0.369712,0.17664,0.198581,0.176423,0.368046,0.174745
378,0.384187,0.177497,0.200837,0.177021,0.374247,0.176237
379,0.36619,0.179644,0.201678,0.178901,0.383211,0.178118
